manufacturer,model name,category,screen size,cpu,ram(GB),gpu,operating system,operating system version,weight(kg),price,resolution,screen_type,touchscreen,cpu_freq(GHz),storage_1_gb,storage_1_type,storage_2_gb,storage_2_type,cpu_brand,gpu_brand
Lenovo,ThinkPad T470s,Ultrabook,"14.0""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,1.32,13329108.0,1920x1080,IPSPanel,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
MSI,Leopard GP72M,Gaming,"17.3""",Intel Core i7 7700HQ ,8.0,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7,11995308.0,1920x1080,,0.0,2.8,256.0,SSD,0.0,NaN,Intel,Nvidia
Dell,XPS 13,Ultrabook,"13.3""",Intel Core i5 8250U ,8.0,Intel UHD Graphics 620,Windows,10,1.21,14218308.0,3840x2160,IPSPanel,1.0,1.6,128.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 7577,Gaming,"15.6""",Intel Core i7 7700HQ ,16.0,Nvidia GeForce GTX 1050 Ti,Windows,10,2.65,11995308.0,1920x1080,IPSPanel,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,Flex 5,2 in 1 Convertible,"14.0""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,1.7,8883108.0,1920x1080,,1.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
HP,ZBook 15u,Workstation,"15.6""",Intel Core i7 6500U ,8.0,AMD FirePro W4190M,Windows,7,1.9,13293540.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,AMD
Asus,Rog G752VS-BA171T,Gaming,"17.3""",Intel Core i7 6700HQ ,16.0,Nvidia GeForce GTX 1070,Windows,10,4.3,20896200.0,1920x1080,IPSPanel,0.0,2.6,256.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,IdeaPad Y900-17ISK,Gaming,"17.3""",Intel Core i7 6820HK ,32.0,Nvidia GeForce GTX 980M,Windows,10,4.6,28810080.0,1920x1080,IPSPanel,0.0,2.7,512.0,SSD,1000.0,Hybrid,Intel,Nvidia
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,"17.3""",Intel Core i7 7700HQ ,12.0,Nvidia GeForce GTX 1050 Ti,Linux,,3.0,8438508.0,1920x1080,,0.0,2.8,1000.0,HDD,0.0,NaN,Intel,Nvidia
Toshiba,Tecra Z50-C-140,Notebook,"15.6""",Intel Core i7 6600U ,16.0,Nvidia GeForce 930M,Windows,10,2.4,17561700.0,1920x1080,IPSPanel,0.0,2.6,256.0,SSD,0.0,NaN,Intel,Nvidia
Dell,Latitude E5270,Ultrabook,"12.5""",Intel Core i5 6200U ,8.0,Intel HD Graphics 520,Windows,7,1.5,12565285.2,1366x768,,0.0,2.3,256.0,SSD,0.0,NaN,Intel,Intel
Dell,XPS 13,Ultrabook,"13.3""",Intel Core i7 8550U ,8.0,Intel UHD Graphics 620,Windows,10,1.21,17330508.0,3840x2160,IPSPanel,1.0,1.8,256.0,SSD,0.0,NaN,Intel,Intel
Asus,X751NV-TY001 (N4200/4GB/1TB/GeForce,Notebook,"17.3""",Intel Pentium Quad Core N4200 ,4.0,Nvidia GeForce 920MX,Windows,10,2.8,4182263.28,1366x768,,0.0,1.1,1000.0,HDD,0.0,NaN,Intel,Nvidia
Dell,XPS 13,2 in 1 Convertible,"13.3""",Intel Core i5 7Y54 ,8.0,Intel HD Graphics 615,Windows,10,1.24,16885908.0,1920x1080,,1.0,1.2,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 5570,Notebook,"15.6""",Intel Core i7 8550U ,8.0,AMD Radeon 530,Windows,10,2.36,8705268.0,1920x1080,,0.0,1.8,128.0,SSD,1000.0,HDD,Intel,AMD
Dell,XPS 13,Ultrabook,"13.3""",Intel Core i7 7660U ,16.0,Intel Iris Plus Graphics 640,Windows,10,1.29,19918080.0,3200x1800,,1.0,2.5,512.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 7577,Gaming,"15.6""",Intel Core i7 7700HQ ,16.0,Nvidia GeForce GTX 1060,Windows,10,2.65,13329108.0,1920x1080,IPSPanel,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,IdeaPad 320-15ABR,Notebook,"15.6""",AMD A12-Series 9720P ,12.0,AMD Radeon 530,Windows,10,2.2,8438508.0,1920x1080,,0.0,3.6,512.0,SSD,0.0,NaN,AMD,AMD
Acer,Aspire 3,Notebook,"15.6""",Intel Pentium Quad Core N4200 ,4.0,Intel HD Graphics 505,Windows,10,2.1,3232330.92,1366x768,,0.0,1.1,1000.0,HDD,0.0,NaN,Intel,Intel
Asus,Pro P2540UA-XS51,Notebook,"15.6""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,2.37,9772308.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Asus,VivoBook Max,Notebook,"15.6""",Intel Core i5 7200U ,4.0,Intel HD Graphics 620,Linux,,2.0,4970628.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Toshiba,Satellite Pro,Notebook,"15.6""",Intel Core i3 6006U ,4.0,Intel HD Graphics 520,Windows,10,2.1,3974724.0,1366x768,,0.0,2.2,500.0,HDD,0.0,NaN,Intel,Intel
Asus,ZenBook UX410UA-GV183T,Notebook,"14.0""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,2.0,9727848.0,1920x1080,,0.0,2.7,256.0,SSD,0.0,NaN,Intel,Intel
Asus,VivoBook Pro,Notebook,"17.3""",Intel Core i7 8550U ,8.0,Nvidia GeForce 150MX,Windows,10,2.1,10181340.0,1920x1080,,0.0,1.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,"13.9""",Intel Core i5 8250U ,8.0,Intel UHD Graphics 620,Windows,10,1.4,14218308.0,1920x1080,IPSPanel,1.0,1.6,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 7577,Gaming,"15.6""",Intel Core i7 7700HQ ,16.0,Nvidia GeForce GTX 1060,Windows,10,2.65,16405740.0,3840x2160,IPSPanel,0.0,2.8,512.0,SSD,1000.0,HDD,Intel,Nvidia
